"line_number","x","y","UTC_Timestamp","seconds","epoch_time_in_seconds_start"
"0","50.30487804878049","49.79674796747967","1654323368.588","0","1654323368.588"
"0","50.30487804878049","49.84756097560976","1654323368.591","0.003",""
"0","50.30487804878049","49.898373983739845","1654323368.598","0.01",""
"0","50.30487804878049","49.94918699186992","1654323368.603","0.015",""
"0","50.30487804878049","50","1654323368.612","0.024",""
"0","50.30487804878049","50","1654323368.624","0.036",""
"0","50.30487804878049","50.05081300813008","1654323368.628","0.04",""
"0","50.30487804878049","50.05081300813008","1654323368.637","0.049",""
"0","50.30487804878049","50.05081300813008","1654323368.645","0.057",""
"0","50.30487804878049","50.05081300813008","1654323368.653","0.065",""
"0","50.30487804878049","50.05081300813008","1654323368.661","0.073",""
"0","50.30487804878049","50.05081300813008","1654323368.67","0.082",""
"0","50.30487804878049","50.05081300813008","1654323368.679","0.091",""
"0","50.30487804878049","50.05081300813008","1654323368.687","0.099",""
"0","50.30487804878049","50.05081300813008","1654323368.695","0.107",""
"0","50.30487804878049","50.05081300813008","1654323368.704","0.116",""
"0","50.30487804878049","50.05081300813008","1654323368.712","0.124",""
"0","50.30487804878049","50.05081300813008","1654323368.72","0.132",""
"0","50.30487804878049","50.05081300813008","1654323368.729","0.141",""
"0","50.30487804878049","50","1654323368.737","0.149",""
"0","50.30487804878049","50","1654323368.745","0.157",""
"0","50.30487804878049","50","1654323368.746","0.158",""
"0","50.30487804878049","50","1654323368.754","0.166",""
"0","50.30487804878049","50","1654323368.762","0.174",""
"0","50.30487804878049","50","1654323368.77","0.182",""
"0","50.30487804878049","50","1654323368.779","0.191",""
"0","50.30487804878049","50","1654323368.787","0.199",""
"0","50.30487804878049","50","1654323368.795","0.207",""
"0","50.30487804878049","50","1654323368.804","0.216",""
"0","50.30487804878049","50","1654323368.812","0.224",""
"0","50.30487804878049","50","1654323368.82","0.232",""
"0","50.30487804878049","50","1654323368.829","0.241",""
"0","50.30487804878049","50","1654323368.837","0.249",""
"0","50.30487804878049","50","1654323368.845","0.257",""
"0","50.30487804878049","50","1654323368.854","0.266",""
"0","50.30487804878049","50","1654323368.862","0.274",""
"0","50.30487804878049","50","1654323368.87","0.282",""
"0","50.30487804878049","49.94918699186992","1654323368.879","0.291",""
"0","50.355691056910565","49.94918699186992","1654323368.887","0.299",""
"0","50.355691056910565","49.94918699186992","1654323368.895","0.307",""
"0","50.40650406504065","49.94918699186992","1654323368.904","0.316",""
"0","50.45731707317073","49.94918699186992","1654323368.912","0.324",""
"0","50.50813008130082","49.94918699186992","1654323368.92","0.332",""
"0","50.609756097560975","50","1654323368.929","0.341",""
"0","50.71138211382114","50.10162601626016","1654323368.937","0.349",""
"0","50.863821138211385","50.15243902439025","1654323368.946","0.358",""
"0","51.016260162601625","50.30487804878049","1654323368.954","0.366",""
"0","51.21951219512195","50.457317073170735","1654323368.962","0.374",""
"0","51.37195121951219","50.66056910569105","1654323368.97","0.382",""
"0","51.52439024390244","50.863821138211385","1654323368.979","0.391",""
"0","51.72764227642277","51.11788617886179","1654323368.987","0.399",""
"0","51.88008130081301","51.32113821138211","1654323368.995","0.407",""
"0","51.981707317073166","51.57520325203252","1654323369.004","0.416",""
"0","52.13414634146341","51.829268292682926","1654323369.012","0.424",""
"0","52.235772357723576","52.03252032520325","1654323369.021","0.433",""
"0","52.33739837398373","52.28658536585366","1654323369.029","0.441",""
"0","52.4390243902439","52.540650406504064","1654323369.037","0.449",""
"0","52.489837398373986","52.79471544715447","1654323369.045","0.457",""
"0","52.59146341463414","53.04878048780488","1654323369.054","0.466",""
"0","52.642276422764226","53.302845528455286","1654323369.062","0.474",""
"0","52.743902439024396","53.55691056910569","1654323369.071","0.483",""
"0","52.743902439024396","53.760162601626014","1654323369.079","0.491",""
"0","52.79471544715447","54.0650406504065","1654323369.087","0.499",""
"0","52.84552845528455","54.26829268292683","1654323369.096","0.508",""
"0","52.84552845528455","54.52235772357724","1654323369.104","0.516",""
"0","52.84552845528455","54.77642276422765","1654323369.112","0.524",""
"0","52.84552845528455","54.97967479674797","1654323369.121","0.533",""
"0","52.79471544715447","55.18292682926829","1654323369.129","0.541",""
"0","52.743902439024396","55.386178861788615","1654323369.137","0.549",""
"0","52.642276422764226","55.58943089430895","1654323369.146","0.558",""
"0","52.59146341463414","55.792682926829265","1654323369.154","0.566",""
"0","52.489837398373986","56.046747967479675","1654323369.162","0.574",""
"0","52.38821138211382","56.25","1654323369.171","0.583",""
"0","52.286585365853654","56.50406504065041","1654323369.179","0.591",""
"0","52.13414634146341","56.707317073170735","1654323369.187","0.599",""
"0","52.03252032520326","56.96138211382114","1654323369.195","0.607",""
"0","51.88008130081301","57.21544715447154","1654323369.204","0.616",""
"0","51.67682926829268","57.36788617886179","1654323369.212","0.624",""
"0","51.52439024390244","57.57113821138211","1654323369.221","0.633",""
"0","51.32113821138211","57.82520325203252","1654323369.229","0.641",""
"0","51.16869918699187","58.02845528455284","1654323369.237","0.649",""
"0","50.96544715447154","58.23170731707317","1654323369.246","0.658",""
"0","50.71138211382114","58.4349593495935","1654323369.254","0.666",""
"0","50.50813008130082","58.58739837398374","1654323369.262","0.674",""
"0","50.25406504065041","58.790650406504064","1654323369.271","0.683",""
"0","50","58.993902439024396","1654323369.279","0.691",""
"0","49.74593495934959","59.146341463414636","1654323369.287","0.699",""
"0","49.49186991869919","59.29878048780488","1654323369.296","0.708",""
"0","49.1869918699187","59.40040650406504","1654323369.304","0.716",""
"0","48.93292682926829","59.552845528455286","1654323369.312","0.724",""
"0","48.6280487804878","59.603658536585364","1654323369.321","0.733",""
"0","48.323170731707314","59.70528455284553","1654323369.329","0.741",""
"0","48.01829268292683","59.756097560975604","1654323369.337","0.749",""
"0","47.764227642276424","59.80691056910569","1654323369.346","0.758",""
"0","47.40853658536585","59.857723577235774","1654323369.354","0.766",""
"0","47.103658536585364","59.857723577235774","1654323369.362","0.774",""
"0","46.79878048780488","59.857723577235774","1654323369.371","0.783",""
"0","46.44308943089431","59.857723577235774","1654323369.379","0.791",""
"0","46.1890243902439","59.857723577235774","1654323369.387","0.799",""
"0","45.9349593495935","59.857723577235774","1654323369.396","0.808",""
"0","45.68089430894309","59.857723577235774","1654323369.404","0.816",""
"0","45.426829268292686","59.80691056910569","1654323369.412","0.824",""
"0","45.22357723577235","59.756097560975604","1654323369.421","0.833",""
"0","44.96951219512195","59.65447154471545","1654323369.429","0.841",""
"0","44.766260162601625","59.603658536585364","1654323369.437","0.849",""
"0","44.51219512195122","59.552845528455286","1654323369.446","0.858",""
"0","44.25813008130081","59.40040650406504","1654323369.454","0.866",""
"0","44.00406504065041","59.29878048780488","1654323369.462","0.874",""
"0","43.75","59.146341463414636","1654323369.471","0.883",""
"0","43.44512195121951","58.993902439024396","1654323369.479","0.891",""
"0","43.24186991869919","58.790650406504064","1654323369.487","0.899",""
"0","42.98780487804878","58.58739837398374","1654323369.496","0.908",""
"0","42.78455284552846","58.38414634146341","1654323369.504","0.916",""
"0","42.581300813008134","58.13008130081301","1654323369.513","0.925",""
"0","42.3780487804878","57.926829268292686","1654323369.521","0.933",""
"0","42.17479674796748","57.672764227642276","1654323369.529","0.941",""
"0","41.97154471544716","57.418699186991866","1654323369.537","0.949",""
"0","41.71747967479675","57.0630081300813","1654323369.546","0.958",""
"0","41.46341463414634","56.707317073170735","1654323369.554","0.966",""
"0","41.209349593495936","56.35162601626016","1654323369.562","0.974",""
"0","40.90447154471545","55.894308943089435","1654323369.571","0.983",""
"0","40.65040650406504","55.48780487804878","1654323369.579","0.991",""
"0","40.447154471544714","55.081300813008134","1654323369.588","1",""
"0","40.19308943089431","54.67479674796748","1654323369.596","1.008",""
"0","39.989837398373986","54.16666666666667","1654323369.604","1.016",""
"0","39.78658536585366","53.760162601626014","1654323369.613","1.025",""
"0","39.63414634146341","53.302845528455286","1654323369.621","1.033",""
"0","39.48170731707317","52.79471544715447","1654323369.629","1.041",""
"0","39.329268292682926","52.28658536585366","1654323369.638","1.05",""
"0","39.176829268292686","51.676829268292686","1654323369.646","1.058",""
"0","39.02439024390244","51.06707317073171","1654323369.654","1.066",""
"0","38.8719512195122","50.457317073170735","1654323369.663","1.075",""
"0","38.77032520325203","49.84756097560976","1654323369.671","1.083",""
"0","38.71951219512195","49.28861788617886","1654323369.679","1.091",""
"0","38.71951219512195","48.78048780487805","1654323369.688","1.1",""
"0","38.71951219512195","48.32317073170732","1654323369.696","1.108",""
"0","38.82113821138211","47.8150406504065","1654323369.704","1.116",""
"0","38.922764227642276","47.256097560975604","1654323369.713","1.125",""
"0","39.1260162601626","46.64634146341463","1654323369.721","1.133",""
"0","39.27845528455284","46.036585365853654","1654323369.729","1.141",""
"0","39.48170731707317","45.42682926829268","1654323369.738","1.15",""
"0","39.735772357723576","44.8170731707317","1654323369.746","1.158",""
"0","39.989837398373986","44.3089430894309","1654323369.754","1.166",""
"0","40.243902439024396","43.75","1654323369.763","1.175",""
"0","40.59959349593496","43.1910569105691","1654323369.771","1.183",""
"0","40.95528455284553","42.6829268292683","1654323369.78","1.192",""
"0","41.3109756097561","42.22560975609756","1654323369.788","1.2",""
"0","41.71747967479675","41.768292682926834","1654323369.796","1.208",""
"0","42.1239837398374","41.36178861788618","1654323369.804","1.216",""
"0","42.581300813008134","40.90447154471545","1654323369.813","1.225",""
"0","43.03861788617886","40.59959349593496","1654323369.821","1.233",""
"0","43.394308943089435","40.34552845528455","1654323369.829","1.241",""
"0","43.80081300813008","40.09146341463414","1654323369.838","1.25",""
"0","44.25813008130081","39.786585365853654","1654323369.846","1.258",""
"0","44.71544715447154","39.583333333333336","1654323369.855","1.267",""
"0","45.27439024390244","39.329268292682926","1654323369.863","1.275",""
"0","45.83333333333333","39.1260162601626","1654323369.871","1.283",""
"0","46.34146341463415","38.97357723577236","1654323369.879","1.291",""
"0","46.84959349593496","38.87195121951219","1654323369.888","1.3",""
"0","47.459349593495936","38.77032520325203","1654323369.896","1.308",""
"0","48.06910569105691","38.77032520325203","1654323369.904","1.316",""
"0","48.67886178861789","38.71951219512195","1654323369.913","1.325",""
"0","49.33943089430895","38.77032520325203","1654323369.921","1.333",""
"0","49.94918699186992","38.82113821138211","1654323369.929","1.341",""
"0","50.5589430894309","38.97357723577236","1654323369.938","1.35",""
"0","51.16869918699187","39.1260162601626","1654323369.946","1.358",""
"0","51.72764227642277","39.27845528455285","1654323369.954","1.366",""
"0","52.286585365853654","39.481707317073166","1654323369.963","1.375",""
"0","52.947154471544714","39.6849593495935","1654323369.971","1.383",""
"0","53.506097560975604","39.9390243902439","1654323369.979","1.391",""
"0","54.11585365853659","40.142276422764226","1654323369.988","1.4",""
"0","54.72560975609756","40.447154471544714","1654323369.996","1.408",""
"0","55.33536585365854","40.802845528455286","1654323370.004","1.416",""
"0","56.04674796747967","41.209349593495936","1654323370.013","1.425",""
"0","56.75813008130082","41.768292682926834","1654323370.021","1.433",""
"0","57.3170731707317","42.22560975609756","1654323370.029","1.441",""
"0","57.8760162601626","42.6829268292683","1654323370.038","1.45",""
"0","58.333333333333336","43.08943089430895","1654323370.046","1.458",""
"0","58.6890243902439","43.54674796747967","1654323370.055","1.467",""
"0","59.04471544715447","44.00406504065041","1654323370.063","1.475",""
"0","59.34959349593496","44.512195121951216","1654323370.071","1.483",""
"0","59.65447154471545","45.02032520325203","1654323370.079","1.491",""
"0","59.90853658536586","45.579268292682926","1654323370.088","1.5",""
"0","60.16260162601627","46.239837398373986","1654323370.096","1.508",""
"0","60.416666666666664","46.90040650406504","1654323370.104","1.516",""
"0","60.61991869918699","47.61178861788618","1654323370.113","1.525",""
"0","60.82317073170732","48.42479674796748","1654323370.122","1.534",""
"0","60.97560975609756","49.08536585365854","1654323370.13","1.542",""
"0","61.07723577235772","49.79674796747967","1654323370.138","1.55",""
"0","61.12804878048781","50.5589430894309","1654323370.146","1.558",""
"0","61.17886178861789","51.27032520325203","1654323370.155","1.567",""
"0","61.17886178861789","51.57520325203252","1654323370.163","1.575",""
"0","61.17886178861789","52.540650406504064","1654323370.171","1.583",""
"0","61.07723577235772","53.15040650406504","1654323370.18","1.592",""
"0","60.97560975609756","53.760162601626014","1654323370.188","1.6",""
"0","60.8739837398374","54.420731707317074","1654323370.196","1.608",""
"0","60.77235772357723","55.081300813008134","1654323370.205","1.617",""
"0","60.670731707317074","55.74186991869919","1654323370.213","1.625",""
"0","60.518292682926834","56.453252032520325","1654323370.221","1.633",""
"0","60.3150406504065","57.113821138211385","1654323370.23","1.642",""
"0","60.11178861788618","57.72357723577235","1654323370.238","1.65",""
"0","59.857723577235774","58.38414634146341","1654323370.246","1.658",""
"0","59.552845528455286","59.04471544715447","1654323370.255","1.667",""
