"line_number","x","y","UTC_Timestamp","seconds","epoch_time_in_seconds_start"
"0","62.70325203252033","83.6890243902439","1661202474.535","0","1661202474.535"
"0","62.855691056910565","83.53658536585365","1661202474.535","0",""
"1","26.676829268292686","73.57723577235772","1661202476.27","1.735",""
"1","27.33739837398374","73.9329268292683","1661202476.28","1.745",""
"1","27.794715447154474","74.08536585365854","1661202476.288","1.753",""
"1","47.5609756097561","73.755081300813","1661202476.292","1.757",""
"1","47.5609756097561","73.72967479674797","1661202476.325","1.79",""
"1","27.896341463414636","73.98373983739837","1661202476.346","1.811",""
"1","27.896341463414636","73.9329268292683","1661202476.354","1.819",""
"1","27.84552845528455","73.9329268292683","1661202476.4","1.865",""
"1","27.794715447154474","73.9329268292683","1661202476.467","1.932",""
"1","27.794715447154474","73.98373983739837","1661202477.034","2.499",""
"1","27.794715447154474","74.23780487804878","1661202477.047","2.512",""
"1","27.794715447154474","74.4918699186992","1661202477.055","2.52",""
"2","75.8130081300813","65.95528455284553","1661202478.088","3.553",""
"2","48.88211382113821","64.380081300813","1661202478.114","3.579",""
"2","22.25609756097561","62.80487804878049","1661202478.122","3.587",""
"2","22.25609756097561","62.55081300813008","1661202478.148","3.613",""
"2","22.103658536585368","62.39837398373984","1661202478.155","3.62",""
"2","22.002032520325205","62.296747967479675","1661202478.164","3.629",""
"2","21.951219512195124","62.19512195121951","1661202478.173","3.638",""
"2","21.84959349593496","62.042682926829265","1661202478.18","3.645",""
"2","21.747967479674795","61.99186991869919","1661202478.189","3.654",""
"2","21.697154471544717","61.890243902439025","1661202478.197","3.662",""
"2","21.646341463414632","61.83943089430895","1661202478.206","3.671",""
"2","21.59552845528455","61.78861788617886","1661202478.214","3.679",""
"2","21.59552845528455","61.73780487804878","1661202478.223","3.688",""
"2","21.544715447154474","61.6869918699187","1661202478.231","3.696",""
"2","21.59552845528455","61.6869918699187","1661202478.703","4.168",""
"2","21.59552845528455","61.73780487804878","1661202478.785","4.25",""
"2","21.646341463414632","61.73780487804878","1661202478.868","4.333",""
"2","21.646341463414632","61.78861788617886","1661202478.91","4.375",""
"2","21.697154471544717","61.83943089430895","1661202478.952","4.417",""
"2","21.747967479674795","61.890243902439025","1661202478.99","4.455",""
"2","21.798780487804876","61.99186991869919","1661202478.998","4.463",""
"2","21.84959349593496","62.042682926829265","1661202479.006","4.471",""
"2","21.951219512195124","62.19512195121951","1661202479.015","4.48",""
"2","22.103658536585368","62.34756097560975","1661202479.023","4.488",""
"2","22.25609756097561","62.60162601626016","1661202479.031","4.496",""
"2","22.459349593495933","62.90650406504065","1661202479.04","4.505",""
"2","22.66260162601626","63.21138211382114","1661202479.048","4.513",""
"3","19.308943089430894","40.65040650406504","1661202480.105","5.57",""
"3","20.3760162601626","40.802845528455286","1661202480.127","5.592",""
"3","20.3760162601626","40.7520325203252","1661202480.14","5.605",""
"3","20.32520325203252","40.59959349593496","1661202480.148","5.613",""
"3","50.96544715447154","40.39634146341463","1661202480.153","5.618",""
"3","50.889227642276424","40.34552845528455","1661202480.165","5.63",""
"3","19.715447154471544","40.19308943089431","1661202480.173","5.638",""
"3","19.61382113821138","40.09146341463414","1661202480.182","5.647",""
"3","19.461382113821138","39.989837398373986","1661202480.19","5.655",""
"3","19.410569105691057","39.9390243902439","1661202480.198","5.663",""
"3","19.308943089430894","39.83739837398373","1661202480.207","5.672",""
"3","19.20731707317073","39.83739837398373","1661202480.215","5.68",""
"3","19.20731707317073","39.786585365853654","1661202480.224","5.689",""
"3","19.15650406504065","39.735772357723576","1661202480.232","5.697",""
"3","19.10569105691057","39.735772357723576","1661202480.249","5.714",""
"3","19.15650406504065","39.735772357723576","1661202480.869","6.334",""
"3","19.20731707317073","39.735772357723576","1661202480.936","6.401",""
"3","19.258130081300813","39.735772357723576","1661202480.982","6.447",""
"3","19.308943089430894","39.786585365853654","1661202480.99","6.455",""
"3","19.359756097560975","39.83739837398373","1661202480.998","6.463",""
"3","19.410569105691057","39.83739837398373","1661202481.007","6.472",""
"3","19.51219512195122","39.9390243902439","1661202481.016","6.481",""
"3","19.664634146341463","40.09146341463414","1661202481.024","6.489",""
"3","19.817073170731707","40.243902439024396","1661202481.032","6.497",""
"3","20.071138211382113","40.447154471544714","1661202481.04","6.505",""
"3","20.32520325203252","40.7520325203252","1661202481.049","6.514",""
"3","20.579268292682926","40.90447154471545","1661202481.057","6.522",""
"4","58.6890243902439","18.597560975609767","1661202482.556","8.021",""
"4","42.9369918699187","18.495934959349597","1661202482.642","8.107",""
"4","27.134146341463417","18.394308943089428","1661202482.65","8.115",""
"4","27.134146341463417","18.34349593495935","1661202482.658","8.123",""
"4","27.134146341463417","18.394308943089428","1661202483.087","8.552",""
"4","27.184959349593495","18.445121951219505","1661202483.321","8.786",""
"4","27.235772357723576","18.495934959349597","1661202483.342","8.807",""
"4","27.28658536585366","18.495934959349597","1661202483.35","8.815",""
"4","27.33739837398374","18.546747967479675","1661202483.358","8.823",""
"4","27.38821138211382","18.597560975609767","1661202483.367","8.832",""
"4","27.540650406504064","18.699186991869922","1661202483.383","8.848",""
"4","27.64227642276423","18.851626016260155","1661202483.392","8.857",""
"4","27.896341463414636","19.105691056910572","1661202483.4","8.865",""
"4","28.15040650406504","19.46138211382113","1661202483.405","8.87",""
"4","28.40447154471545","19.715447154471548","1661202483.417","8.882",""
"4","28.556910569105693","19.867886178861795","1661202483.425","8.89",""
"5","61.53455284552846","13.567073170731703","1661202484.457","9.922",""
"5","70.19817073170732","14.22764227642277","1661202485.022","10.487",""
"5","62.34756097560976","13.465447154471548","1661202485.043","10.508",""
"5","62.34756097560976","13.41463414634147","1661202485.064","10.529",""
"5","62.34756097560976","13.363821138211378","1661202485.097","10.562",""
"5","62.34756097560976","13.3130081300813","1661202485.13","10.595",""
"5","62.34756097560976","13.41463414634147","1661202485.222","10.687",""
"5","62.34756097560976","13.516260162601625","1661202485.235","10.7",""
"5","62.34756097560976","13.71951219512195","1661202485.238","10.703",""
"6","70.630081300813","27.4390243902439","1661202486.358","11.823",""
"6","77.13414634146342","27.515243902439025","1661202487.044","12.509",""
"7","86.99186991869918","11.026422764227632","1661202488.218","13.683",""
"7","80.53861788617887","9.273373983739845","1661202488.841","14.306",""
"7","73.8821138211382","7.520325203252028","1661202488.954","14.419",""
"8","31.072154471544717","9.222560975609767","1661202489.954","15.419",""
"8","31.27540650406504","8.96849593495935","1661202490.033","15.498",""
"8","21.239837398373986","8.841463414634148","1661202490.046","15.511",""
"8","21.239837398373986","8.790650406504056","1661202490.062","15.527",""
"8","21.239837398373986","8.739837398373979","1661202490.07","15.535",""
"8","21.239837398373986","8.790650406504056","1661202490.667","16.132",""
"8","21.239837398373986","8.841463414634148","1661202490.691","16.156",""
