"line_number","x","y","UTC_Timestamp","seconds","epoch_time_in_seconds_start"
"0","50.355691056910565","50.609756097560975","1661202443.844","0","1661202443.844"
"0","50.50813008130082","50.457317073170735","1661202443.844","0",""
"1","56.70731707317073","50.40650406504065","1661202448.078","4.234",""
"1","56.859756097560975","50.25406504065041","1661202448.078","4.234",""
"2","56.65650406504065","50.40650406504065","1661202448.117","4.273",""
"2","56.8089430894309","50.25406504065041","1661202448.117","4.273",""
"3","56.55487804878049","50.355691056910565","1661202448.142","4.298",""
"3","56.70731707317073","50.203252032520325","1661202448.142","4.298",""
"4","63.516260162601625","49.644308943089435","1661202455.182","11.338",""
"4","63.66869918699187","49.49186991869918","1661202455.182","11.338",""
"5","70.47764227642277","49.136178861788615","1661202460.386","16.542",""
"5","70.630081300813","48.983739837398375","1661202460.386","16.542",""
"6","70.47764227642277","49.18699186991869","1661202460.409","16.565",""
"6","70.630081300813","49.03455284552846","1661202460.409","16.565",""
"7","77.28658536585365","50.15243902439025","1661202465.447","21.603",""
"7","77.4390243902439","50","1661202465.447","21.603",""
