"line_number","x","y","UTC_Timestamp","seconds","epoch_time_in_seconds_start"
"0","50.40650406504065","50.203252032520325","1656738524.216","0","1656738524.216"
"0","50.40650406504065","50.203252032520325","1656738524.227","0.011",""
"0","50.40650406504065","50.203252032520325","1656738524.233","0.017",""
"0","50.40650406504065","50.203252032520325","1656738524.239","0.023",""
"0","50.40650406504065","50.203252032520325","1656738524.247","0.031",""
"0","50.40650406504065","50.203252032520325","1656738524.255","0.039",""
"0","50.40650406504065","50.203252032520325","1656738524.264","0.048",""
"0","50.40650406504065","50.203252032520325","1656738524.272","0.056",""
"0","50.40650406504065","50.203252032520325","1656738524.281","0.065",""
"0","50.40650406504065","50.203252032520325","1656738524.289","0.073",""
"0","50.40650406504065","50.203252032520325","1656738524.298","0.082",""
"0","50.40650406504065","50.203252032520325","1656738524.306","0.09",""
"0","50.40650406504065","50.203252032520325","1656738524.314","0.098",""
"0","50.40650406504065","50.203252032520325","1656738524.323","0.107",""
"0","50.40650406504065","50.203252032520325","1656738524.331","0.115",""
"0","50.40650406504065","50.203252032520325","1656738524.339","0.123",""
"0","50.45731707317073","50.203252032520325","1656738524.348","0.132",""
"0","50.45731707317073","50.25406504065041","1656738524.356","0.14",""
"0","50.45731707317073","50.25406504065041","1656738524.365","0.149",""
"0","50.45731707317073","50.25406504065041","1656738524.373","0.157",""
"0","50.45731707317073","50.25406504065041","1656738524.381","0.165",""
"0","50.50813008130082","50.30487804878049","1656738524.389","0.173",""
"0","50.50813008130082","50.30487804878049","1656738524.398","0.182",""
"0","50.50813008130082","50.30487804878049","1656738524.406","0.19",""
"0","50.50813008130082","50.30487804878049","1656738524.414","0.198",""
"0","50.50813008130082","50.355691056910565","1656738524.423","0.207",""
"0","50.50813008130082","50.355691056910565","1656738524.431","0.215",""
"0","50.50813008130082","50.355691056910565","1656738524.439","0.223",""
"0","50.50813008130082","50.355691056910565","1656738524.448","0.232",""
"0","50.50813008130082","50.355691056910565","1656738524.456","0.24",""
"0","50.50813008130082","50.355691056910565","1656738524.464","0.248",""
"0","50.50813008130082","50.355691056910565","1656738524.473","0.257",""
"0","50.50813008130082","50.355691056910565","1656738524.481","0.265",""
"0","50.50813008130082","50.40650406504065","1656738524.49","0.274",""
"0","50.50813008130082","50.40650406504065","1656738524.498","0.282",""
"0","50.50813008130082","50.40650406504065","1656738524.506","0.29",""
"0","50.50813008130082","50.457317073170735","1656738524.514","0.298",""
"0","50.50813008130082","50.457317073170735","1656738524.523","0.307",""
"0","50.50813008130082","50.50813008130081","1656738524.531","0.315",""
"0","50.50813008130082","50.50813008130081","1656738524.54","0.324",""
"0","50.50813008130082","50.5589430894309","1656738524.548","0.332",""
"0","50.45731707317073","50.609756097560975","1656738524.556","0.34",""
"0","50.45731707317073","50.66056910569105","1656738524.565","0.349",""
"0","50.45731707317073","50.71138211382114","1656738524.573","0.357",""
"0","50.45731707317073","50.76219512195122","1656738524.581","0.365",""
"0","50.40650406504065","50.8130081300813","1656738524.59","0.374",""
"0","50.40650406504065","50.91463414634146","1656738524.598","0.382",""
"0","50.40650406504065","50.96544715447154","1656738524.606","0.39",""
"0","50.355691056910565","51.06707317073171","1656738524.614","0.398",""
"0","50.355691056910565","51.11788617886179","1656738524.623","0.407",""
"0","50.30487804878049","51.21951219512195","1656738524.631","0.415",""
"0","50.30487804878049","51.32113821138211","1656738524.64","0.424",""
"0","50.25406504065041","51.3719512195122","1656738524.648","0.432",""
"0","50.25406504065041","51.422764227642276","1656738524.656","0.44",""
"0","50.20325203252033","51.52439024390244","1656738524.665","0.449",""
"0","50.20325203252033","51.57520325203252","1656738524.673","0.457",""
"0","50.20325203252033","51.6260162601626","1656738524.681","0.465",""
"0","50.15243902439024","51.676829268292686","1656738524.69","0.474",""
"0","50.101626016260155","51.72764227642276","1656738524.698","0.482",""
"0","50.101626016260155","51.72764227642276","1656738524.706","0.49",""
"0","50.05081300813008","51.77845528455284","1656738524.715","0.499",""
"0","50","51.77845528455284","1656738524.723","0.507",""
"0","49.94918699186992","51.829268292682926","1656738524.731","0.515",""
"0","49.89837398373984","51.829268292682926","1656738524.74","0.524",""
"0","49.84756097560975","51.829268292682926","1656738524.748","0.532",""
"0","49.796747967479675","51.88008130081301","1656738524.756","0.54",""
"0","49.74593495934959","51.88008130081301","1656738524.765","0.549",""
"0","49.69512195121951","51.88008130081301","1656738524.773","0.557",""
"0","49.69512195121951","51.88008130081301","1656738524.781","0.565",""
"0","49.644308943089435","51.88008130081301","1656738524.79","0.574",""
"0","49.59349593495935","51.88008130081301","1656738524.798","0.582",""
"0","49.542682926829265","51.93089430894309","1656738524.806","0.59",""
"0","49.49186991869919","51.93089430894309","1656738524.815","0.599",""
"0","49.4410569105691","51.93089430894309","1656738524.823","0.607",""
"0","49.390243902439025","51.93089430894309","1656738524.831","0.615",""
"0","49.33943089430895","51.98170731707317","1656738524.84","0.624",""
"0","49.28861788617886","51.98170731707317","1656738524.848","0.632",""
"0","49.23780487804878","51.98170731707317","1656738524.856","0.64",""
"0","49.1869918699187","51.98170731707317","1656738524.865","0.649",""
"0","49.136178861788615","52.03252032520325","1656738524.873","0.657",""
"0","49.08536585365854","52.03252032520325","1656738524.882","0.666",""
"0","49.03455284552846","52.03252032520325","1656738524.89","0.674",""
"0","48.983739837398375","52.03252032520325","1656738524.898","0.682",""
"0","48.93292682926829","52.03252032520325","1656738524.906","0.69",""
"0","48.88211382113821","52.03252032520325","1656738524.915","0.699",""
"0","48.831300813008134","52.03252032520325","1656738524.923","0.707",""
"0","48.78048780487805","52.03252032520325","1656738524.931","0.715",""
"0","48.72967479674797","52.03252032520325","1656738524.94","0.724",""
"0","48.67886178861789","52.03252032520325","1656738524.948","0.732",""
"0","48.577235772357724","52.03252032520325","1656738524.956","0.74",""
"0","48.52642276422765","51.98170731707317","1656738524.965","0.749",""
"0","48.47560975609756","51.98170731707317","1656738524.973","0.757",""
"0","48.42479674796748","51.98170731707317","1656738524.981","0.765",""
"0","48.3739837398374","51.93089430894309","1656738524.99","0.774",""
"0","48.323170731707314","51.93089430894309","1656738524.998","0.782",""
"0","48.27235772357724","51.93089430894309","1656738525.007","0.791",""
"0","48.22154471544716","51.88008130081301","1656738525.015","0.799",""
"0","48.22154471544716","51.88008130081301","1656738525.023","0.807",""
"0","48.170731707317074","51.88008130081301","1656738525.032","0.816",""
"0","48.11991869918699","51.829268292682926","1656738525.04","0.824",""
"0","48.06910569105691","51.77845528455284","1656738525.048","0.832",""
"0","48.01829268292683","51.77845528455284","1656738525.056","0.84",""
"0","47.96747967479675","51.72764227642276","1656738525.065","0.849",""
"0","47.91666666666667","51.676829268292686","1656738525.073","0.857",""
"0","47.86585365853659","51.676829268292686","1656738525.082","0.866",""
"0","47.8150406504065","51.6260162601626","1656738525.09","0.874",""
"0","47.764227642276424","51.57520325203252","1656738525.098","0.882",""
"0","47.71341463414634","51.52439024390244","1656738525.107","0.891",""
"0","47.71341463414634","51.47357723577235","1656738525.115","0.899",""
"0","47.66260162601626","51.47357723577235","1656738525.123","0.907",""
"0","47.611788617886184","51.422764227642276","1656738525.131","0.915",""
"0","47.5609756097561","51.3719512195122","1656738525.14","0.924",""
"0","47.510162601626014","51.3719512195122","1656738525.148","0.932",""
"0","47.459349593495936","51.32113821138211","1656738525.157","0.941",""
"0","47.459349593495936","51.27032520325203","1656738525.165","0.949",""
"0","47.40853658536585","51.21951219512195","1656738525.173","0.957",""
"0","47.357723577235774","51.21951219512195","1656738525.181","0.965",""
"0","47.357723577235774","51.168699186991866","1656738525.19","0.974",""
"0","47.30691056910569","51.11788617886179","1656738525.198","0.982",""
"0","47.30691056910569","51.11788617886179","1656738525.206","0.99",""
"0","47.256097560975604","51.06707317073171","1656738525.215","0.999",""
"0","47.256097560975604","51.016260162601625","1656738525.223","1.007",""
"0","47.20528455284553","51.016260162601625","1656738525.232","1.016",""
"0","47.15447154471545","50.96544715447154","1656738525.24","1.024",""
"0","47.15447154471545","50.91463414634146","1656738525.248","1.032",""
"0","47.103658536585364","50.91463414634146","1656738525.256","1.04",""
"0","47.103658536585364","50.863821138211385","1656738525.265","1.049",""
"0","47.052845528455286","50.8130081300813","1656738525.273","1.057",""
"0","47.052845528455286","50.76219512195122","1656738525.282","1.066",""
"0","47.0020325203252","50.71138211382114","1656738525.29","1.074",""
"0","47.0020325203252","50.66056910569105","1656738525.298","1.082",""
"0","46.95121951219512","50.609756097560975","1656738525.307","1.091",""
"0","46.90040650406504","50.5589430894309","1656738525.315","1.099",""
"0","46.90040650406504","50.50813008130081","1656738525.323","1.107",""
"0","46.84959349593496","50.457317073170735","1656738525.332","1.116",""
"0","46.84959349593496","50.40650406504065","1656738525.34","1.124",""
"0","46.79878048780488","50.355691056910565","1656738525.348","1.132",""
"0","46.7479674796748","50.30487804878049","1656738525.357","1.141",""
"0","46.7479674796748","50.25406504065041","1656738525.365","1.149",""
"0","46.697154471544714","50.203252032520325","1656738525.373","1.157",""
"0","46.646341463414636","50.10162601626016","1656738525.385","1.169",""
"0","46.646341463414636","50.05081300813008","1656738525.393","1.177",""
"0","46.59552845528455","50","1656738525.398","1.182",""
"0","46.59552845528455","49.94918699186992","1656738525.406","1.19",""
"0","46.54471544715447","49.84756097560976","1656738525.414","1.198",""
